Removed Pin From Net: NetName=GND Pin=U4-7
Added Pin To Net: NetName=3.3 Pin=C10-2
Added Pin To Net: NetName=3.3 Pin=C11-1
Added Pin To Net: NetName=3.3 Pin=C12-2
Added Pin To Net: NetName=+5 Pin=J4-7
Added Pin To Net: NetName=+5 Pin=J4-8
Added Pin To Net: NetName=+5 Pin=J4-9
Added Pin To Net: NetName=+5 Pin=J4-10
Added Pin To Net: NetName=+5 Pin=J4-11
Added Pin To Net: NetName=+5 Pin=J4-12
Added Pin To Net: NetName=3.3 Pin=U4-1
Added Pin To Net: NetName=3.3 Pin=U4-16
Added Room: Name=FC_board
